DATE,SHARE_CODE,ISSUER_NAME,INVESTOR_NAME,INVESTOR_TYPE,LOCAL_FOREIGN,NATIONALITY,DOMICILE,HOLDINGS_SCRIPLESS,HOLDINGS_SCRIP,TOTAL_HOLDING_SHARES,PERCENTAGE,ISSUER_NAME_CLEAN,INVESTOR_NAME_CLEAN,SOURCE_DATE_STR
2026-02-27,EPAC,MEGALESTARI EPACK SENTOSARAYA Tbk,ALEX BUDIARJO,ID,D,INDONESIAN,INDONESIA,52060000,0,52060000,1.58,Megalestari Epack Sentosaraya,Alex Budiarjo,2026-03-10
2026-02-27,EPAC,MEGALESTARI EPACK SENTOSARAYA Tbk,DJOTO MARTIN,ID,D,INDONESIAN,INDONESIA,52140000,0,52140000,1.58,Megalestari Epack Sentosaraya,Djoto Martin,2026-03-10
2026-02-27,EPAC,MEGALESTARI EPACK SENTOSARAYA Tbk,ARTHUR PRAKASA BRATANATA,ID,D,INDONESIAN,INDONESIA,34900800,0,34900800,1.06,Megalestari Epack Sentosaraya,Arthur Prakasa Bratanata,2026-03-10
2026-02-27,EPMT,ENSEVAL PUTERA MEGATRADING Tbk,KALBE FARMA TBK PT,CP,D,,INDONESIA,2491285795,0,2491285795,91.98,Enseval Putera Megatrading,Kalbe Farma,2026-03-10
2026-02-27,EPMT,ENSEVAL PUTERA MEGATRADING Tbk,CITIBANK NEW YORK S/A RAINBOW FUND LP,OT,F,,UNITED STATES,61422094,0,61422094,2.27,Enseval Putera Megatrading,Citibank,2026-03-10
2026-02-27,ERAA,ERAJAYA SWASEMBADA Tbk,ERALINK INTERNATIONAL PT,CP,D,,INDONESIA,2605311200,6194980200,8800291400,55.17,Erajaya Swasembada,Eralink International,2026-03-10
2026-02-27,ERAA,ERAJAYA SWASEMBADA Tbk,HSBC LTD-SINGAPORE BRANCH PRIVATE BANKING DIVISION ACCOUNT CLIENTS,CP,F,,SINGAPORE,527000000,0,527000000,3.3,Erajaya Swasembada,Hsbc -singapore Branch Private Banking Division,2026-03-10
2026-02-27,ERAA,ERAJAYA SWASEMBADA Tbk,DJS KETENAGAKERJAAN PROGRAM JAMINAN HARI TUA,IS,D,,INDONESIA,414452500,0,414452500,2.6,Erajaya Swasembada,BPJS Ketenagakerjaan,2026-03-10
2026-02-27,ERAA,ERAJAYA SWASEMBADA Tbk,DBS BANK LTD S/A ALBIZIA ASEAN OPPORTUNITIES FUND,IB,F,,UNITED KINGDOM,386681800,0,386681800,2.42,Erajaya Swasembada,DBS,2026-03-10
2026-02-27,ERAA,ERAJAYA SWASEMBADA Tbk,GOVERNMENT OF NORWAY,OT,F,,NORWAY,368602400,0,368602400,2.31,Erajaya Swasembada,Gov Norway,2026-03-10
2026-02-27,ERAA,ERAJAYA SWASEMBADA Tbk,DJS KETENAGAKERJAAN PROGRAM JAMINAN PENSIUN,IS,D,,INDONESIA,358705200,0,358705200,2.25,Erajaya Swasembada,BPJS Ketenagakerjaan,2026-03-10
2026-02-27,ERAA,ERAJAYA SWASEMBADA Tbk,PUBLIC INDONESIA SELECT FUND,MF,F,,MALAYSIA,252637000,0,252637000,1.58,Erajaya Swasembada,Public Indonesia Select,2026-03-10
2026-02-27,ERAA,ERAJAYA SWASEMBADA Tbk,"ERAJAYA SWASEMBADA TBK, PT",CP,D,,INDONESIA,236030022,0,236030022,1.48,Erajaya Swasembada,Erajaya Swasembada,2026-03-10
2026-02-27,ERAA,ERAJAYA SWASEMBADA Tbk,PT PRUDENTIAL LIFE ASSURANCE,IS,D,,INDONESIA,186322500,0,186322500,1.17,Erajaya Swasembada,Prudential Life Assurance,2026-03-10
2026-02-27,ERAL,SINAR EKA SELARAS Tbk,"ERAJAYA SWASEMBADA TBK, PT",CP,D,,INDONESIA,0,4149990000,4149990000,80.0,Sinar Eka Selaras,Erajaya Swasembada,2026-03-10
2026-02-27,ERAL,SINAR EKA SELARAS Tbk,REKSA DANA SUCORINVEST SHARIA EQUITY FUND,MF,D,,INDONESIA,63292400,0,63292400,1.22,Sinar Eka Selaras,Reksa Dana Sucorinvest Sharia Equity,2026-03-10
2026-02-27,ERAL,SINAR EKA SELARAS Tbk,RUDY SUSANTO,ID,D,INDONESIAN,INDONESIA,60250100,0,60250100,1.16,Sinar Eka Selaras,Rudy Susanto,2026-03-10
2026-02-27,ERTX,ERATEX DJAJA Tbk,PT UNGARAN SARI GARMENTS,CP,D,,INDONESIA,1186085292,0,1186085292,92.19,Eratex Djaja,Ungaran Sari Garments,2026-03-10
2026-02-27,ESIP,SINERGI INTI PLASTINDO Tbk,PT TANINDO OMEGA PASIFIK,CP,D,,INDONESIA,0,354400000,354400000,31.93,Sinergi Inti Plastindo,Tanindo Omega Pasifik,2026-03-10
